bowler,death_economy_rate,middle_economy_rate,powerplay_economy_rate,death_overs_bowled,middle_overs_bowled,powerplay_overs_bowled
A Ashish Reddy,9.73,7.99,20.0,17.166666666666668,26.166666666666668,1.0
A Badoni,6.0,10.59,0.0,1.0,2.8333333333333335,0.16666666666666666
A Chandila,6.0,7.16,5.75,1.0,13.833333333333334,23.833333333333332
A Choudhary,8.89,7.91,7.46,4.5,7.333333333333333,6.166666666666667
A Dananjaya,0.0,11.05,12.0,0.0,3.1666666666666665,1.0
A Flintoff,15.13,5.2,10.5,3.8333333333333335,5.0,2.0
A Kamboj,0.0,9.35,11.09,0.0,5.666666666666667,5.5
A Kumble,7.53,6.65,4.93,28.166666666666668,114.0,17.833333333333332
A Mishra,9.23,6.92,7.32,89.16666666666667,455.5,23.5
A Mithun,11.0,8.38,8.96,14.0,25.666666666666668,11.5
A Nehra,8.74,7.21,7.33,89.0,48.666666666666664,186.33333333333334
A Nel,8.0,11.0,12.0,1.0,1.0,1.0
A Nortje,9.71,8.55,8.08,72.16666666666667,35.333333333333336,70.66666666666667
A Singh,10.11,7.43,6.56,26.5,7.666666666666667,45.0
A Symonds,10.48,7.79,5.53,13.833333333333334,54.333333333333336,19.166666666666668
A Uniyal,8.67,18.0,10.15,3.0,1.0,2.1666666666666665
A Zampa,10.21,7.55,6.71,12.833333333333334,50.333333333333336,7.0
AA Chavan,13.71,9.48,6.5,2.3333333333333335,14.666666666666666,23.833333333333332
AA Jhunjhunwala,12.0,8.89,8.81,0.16666666666666666,9.0,5.333333333333333
AA Kazi,0.0,9.69,0.0,0.0,2.1666666666666665,0.0
AA Noffke,5.5,7.0,22.0,2.0,1.0,1.0
AB Agarkar,9.87,7.85,9.14,31.0,71.33333333333333,31.166666666666668
AB Dinda,10.82,6.34,7.06,70.33333333333333,50.666666666666664,140.33333333333334
AB McDonald,10.2,7.75,8.93,5.0,18.833333333333332,7.166666666666667
AC Gilchrist,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
AC Thomas,9.81,6.0,6.37,19.666666666666668,3.6666666666666665,30.0
AC Voges,5.0,7.3,12.0,1.0,6.166666666666667,2.1666666666666665
AD Mascarenhas,9.33,5.95,7.37,4.5,18.5,27.666666666666668
AD Mathews,8.75,7.86,8.65,25.5,85.66666666666667,21.166666666666668
AD Russell,10.56,8.69,8.13,88.83333333333333,131.83333333333334,69.16666666666667
AF Milne,9.54,9.44,9.27,9.333333333333334,9.0,16.5
AG Murtaza,12.5,7.86,3.95,4.0,26.833333333333332,13.166666666666666
AJ Finch,5.14,11.23,3.0,1.1666666666666667,5.166666666666667,1.0
AJ Hosein,0.0,10.0,10.59,0.0,1.0,2.8333333333333335
AJ Tye,9.03,8.09,7.82,49.833333333333336,34.0,32.333333333333336
AK Markram,6.0,9.07,6.77,0.16666666666666666,15.0,5.166666666666667
AL Menaria,13.71,5.86,6.6,3.5,7.0,8.333333333333334
AM Nayar,9.0,8.04,10.0,1.0,37.666666666666664,1.0
AM Rahane,0.0,5.0,0.0,0.0,1.0,0.0
AM Salvi,8.9,8.25,7.11,5.166666666666667,9.333333333333334,10.833333333333334
AN Ahmed,10.46,7.77,7.69,16.833333333333332,19.166666666666668,22.5
AP Dole,10.15,7.0,10.63,2.1666666666666665,4.0,5.833333333333333
AR Patel,8.68,6.95,7.72,58.666666666666664,372.3333333333333,86.66666666666667
AS Joseph,9.23,9.21,9.7,22.0,33.333333333333336,18.666666666666668
AS Rajpoot,11.21,7.88,8.71,17.833333333333332,27.166666666666668,45.833333333333336
AS Raut,6.5,10.94,0.0,2.0,2.8333333333333335,0.0
AS Roy,6.0,7.09,10.71,2.0,14.666666666666666,7.0
AU Rashid,10.0,9.0,0.0,1.0,9.0,0.0
AUK Pathan,11.2,8.08,0.0,2.5,4.333333333333333,0.0
Abdul Samad,17.14,11.62,0.0,1.1666666666666667,8.0,0.0
Abdur Razzak,0.0,12.43,0.0,0.0,2.3333333333333335,0.0
Abhishek Sharma,16.74,7.89,8.32,3.1666666666666665,34.833333333333336,7.333333333333333
Akash Deep,15.48,10.76,8.88,5.166666666666667,15.333333333333334,8.333333333333334
Akash Madhwal,10.04,9.88,7.56,17.333333333333332,16.0,12.166666666666666
Akash Singh,13.5,9.12,9.35,2.0,4.166666666666667,17.333333333333332
Aman Hakim Khan,0.0,13.0,0.0,0.0,1.0,0.0
Anand Rajan,11.02,6.62,6.13,7.166666666666667,11.333333333333334,7.666666666666667
Ankit Sharma,11.31,7.43,6.25,4.333333333333333,33.5,24.333333333333332
Ankit Soni,24.0,7.9,3.0,0.16666666666666666,17.333333333333332,1.0
Anureet Singh,10.75,9.22,7.25,22.333333333333332,20.833333333333332,26.333333333333332
Arjun Tendulkar,16.15,16.0,5.69,2.1666666666666665,1.5,9.666666666666666
Arshad Khan,15.24,9.79,9.79,6.166666666666667,3.1666666666666665,15.833333333333334
Arshad Khan (2),0.0,12.0,0.0,0.0,2.0,0.0
Arshdeep Singh,9.26,8.42,8.29,83.5,43.0,110.66666666666667
Atharva Taide,24.0,0.0,0.0,0.16666666666666666,0.0,0.0
Avesh Khan,9.12,7.83,8.77,86.16666666666667,58.0,83.66666666666667
Azhar Mahmood,9.59,6.48,6.61,34.833333333333336,31.5,24.5
Azmatullah Omarzai,16.0,4.36,8.92,1.0,1.8333333333333333,18.166666666666668
B Akhil,11.04,6.23,12.0,8.333333333333334,22.166666666666668,1.0
B Chipli,0.0,20.0,0.0,0.0,1.0,0.0
B Geeves,10.0,10.33,12.0,1.0,3.0,4.166666666666667
B Kumar,9.05,8.22,6.32,229.16666666666666,68.33333333333333,363.0
B Laughlin,10.77,7.81,10.0,13.0,10.5,6.0
B Lee,8.55,5.92,6.86,53.333333333333336,13.333333333333334,81.66666666666667
B Stanlake,11.0,8.51,7.48,1.0,9.166666666666666,14.833333333333334
BA Bhatt,9.05,8.07,7.18,10.833333333333334,22.666666666666668,16.166666666666668
BA Stokes,9.65,7.38,9.05,34.0,51.333333333333336,31.5
BAW Mendis,8.67,7.18,6.81,9.0,22.0,9.833333333333334
BB Sran,8.84,9.1,8.82,15.833333333333334,29.333333333333332,39.666666666666664
BCJ Cutting,11.38,7.77,9.27,12.833333333333334,27.666666666666668,7.333333333333333
BE Hendricks,8.67,8.17,10.12,9.0,6.0,10.666666666666666
BJ Hodge,7.67,7.6,8.67,3.0,30.0,6.0
BJ Rohrer,0.0,10.29,0.0,0.0,1.1666666666666667,0.0
BMAJ Mendis,0.0,7.2,0.0,0.0,5.0,0.0
BW Hilfenhaus,10.97,8.76,6.02,16.5,6.166666666666667,40.5
Basil Thampi,11.15,8.43,9.31,29.5,31.333333333333332,27.166666666666668
Bipul Sharma,14.82,7.72,6.16,5.666666666666667,53.333333333333336,12.333333333333334
C Ganapathy,0.0,13.0,0.0,0.0,1.0,0.0
C Green,11.75,7.91,8.34,16.166666666666668,42.333333333333336,16.666666666666668
C Munro,0.0,7.5,0.0,0.0,2.0,0.0
C Nanda,6.86,7.0,0.0,1.1666666666666667,7.0,0.0
C Sakariya,9.86,8.12,6.41,23.833333333333332,19.833333333333332,31.666666666666668
C de Grandhomme,13.38,8.35,5.57,2.1666666666666665,33.166666666666664,2.3333333333333335
CH Gayle,8.71,7.12,7.78,25.833333333333332,48.0,20.833333333333332
CH Morris,8.53,7.52,7.44,109.33333333333333,67.83333333333333,116.33333333333333
CJ Anderson,12.31,8.65,9.86,16.166666666666668,23.0,12.166666666666666
CJ Dala,0.0,8.5,14.57,0.0,2.0,1.1666666666666667
CJ Green,9.6,0.0,8.0,0.8333333333333334,0.0,2.0
CJ Jordan,11.06,7.43,9.1,47.833333333333336,42.666666666666664,25.833333333333332
CJ McKay,10.0,4.67,13.0,2.0,3.0,2.0
CK Kapugedera,15.0,18.55,0.0,1.0,1.8333333333333333,0.0
CK Langeveldt,7.75,7.25,6.62,8.0,4.0,14.5
CL White,0.0,11.22,0.0,0.0,7.666666666666667,0.0
CR Brathwaite,10.07,8.41,7.5,9.333333333333334,30.333333333333332,4.0
CR Woakes,10.29,6.49,8.91,27.5,20.5,27.166666666666668
CRD Fernando,8.93,6.55,6.61,14.333333333333334,12.666666666666666,13.166666666666666
CV Varun,8.63,7.23,7.48,43.0,171.33333333333334,52.166666666666664
D Brevis,16.0,0.0,0.0,0.5,0.0,0.0
D Jansen,9.6,13.0,13.71,2.5,1.0,1.1666666666666667
D Kalyankrishna,17.0,9.77,0.0,1.0,7.166666666666667,0.0
D Pretorius,11.23,6.57,0.0,13.0,14.0,0.0
D Salunkhe,7.0,9.91,0.0,1.0,7.166666666666667,0.0
D Wiese,9.84,9.04,6.99,10.666666666666666,27.666666666666668,12.166666666666666
D du Preez,13.71,9.33,4.0,1.1666666666666667,3.0,3.0
DA Warner,0.0,6.0,0.0,0.0,0.3333333333333333,0.0
DAJ Bracewell,10.0,6.92,7.0,1.0,2.1666666666666665,1.0
DB Ravi Teja,0.0,9.33,0.0,0.0,3.0,0.0
DE Bollinger,7.36,4.74,7.08,39.666666666666664,3.1666666666666665,54.5
DG Nalkande,9.47,10.47,10.15,3.1666666666666665,9.166666666666666,2.1666666666666665
DJ Bravo,9.03,7.29,7.44,239.33333333333334,260.5,40.166666666666664
DJ Harris,10.0,8.0,0.0,1.0,2.0,0.0
DJ Hooda,13.26,7.76,7.78,7.166666666666667,43.833333333333336,12.333333333333334
DJ Hussey,12.67,8.01,9.5,9.0,37.833333333333336,6.0
DJ Mitchell,0.0,11.41,0.0,0.0,8.5,0.0
DJ Muthuswami,1.0,8.0,8.0,1.0,1.0,11.5
DJ Thornely,0.0,5.45,0.0,0.0,7.333333333333333,0.0
DJ Willey,9.69,8.34,6.71,6.5,6.833333333333333,22.666666666666668
DJG Sammy,12.58,7.57,8.16,8.666666666666666,27.333333333333332,4.166666666666667
DJM Short,0.0,6.71,0.0,0.0,2.8333333333333335,0.0
DL Chahar,8.85,7.16,7.67,26.333333333333332,38.0,223.66666666666666
DL Vettori,8.09,6.5,6.47,27.333333333333332,86.33333333333333,15.0
DNT Zoysa,10.42,10.5,7.3,3.1666666666666665,2.0,6.166666666666667
DP Nannes,8.48,7.33,6.1,35.833333333333336,16.5,59.0
DP Vijaykumar,11.14,6.0,7.29,4.666666666666667,3.8333333333333335,17.0
DR Sams,12.94,7.7,6.6,11.666666666666666,21.166666666666668,31.666666666666668
DR Smith,12.92,7.83,11.17,12.0,68.16666666666667,10.833333333333334
DS Kulkarni,9.45,8.26,7.38,62.333333333333336,74.33333333333333,172.16666666666666
