phase,total_wickets_down,situations,wins,win_prob_pct,prob_drop_if_next_wicket_falls
Death (15-19),1,117,111,94.9,-3.4000000000000057
Death (15-19),2,270,247,91.5,-7.400000000000006
Death (15-19),3,596,501,84.1,-14.399999999999991
Death (15-19),4,768,535,69.7,-21.800000000000004
Death (15-19),5,726,348,47.9,-17.299999999999997
Death (15-19),6,651,199,30.6,-13.900000000000002
Death (15-19),7,498,83,16.7,-11.899999999999999
Death (15-19),8,372,18,4.8,-2.1999999999999997
Death (15-19),9,233,6,2.6,-1.7000000000000002
Death (15-19),10,108,1,0.9,
Middle (6-14),0,641,523,81.6,-3.5
Middle (6-14),1,1741,1360,78.1,-13.5
Middle (6-14),2,2349,1518,64.6,-15.099999999999994
Middle (6-14),3,2149,1064,49.5,-16.0
Middle (6-14),4,1371,459,33.5,-13.7
Middle (6-14),5,753,149,19.8,-9.200000000000001
Middle (6-14),6,321,34,10.6,-9.299999999999999
Middle (6-14),7,153,2,1.3,-1.3
Middle (6-14),8,56,0,0.0,-0.0
Middle (6-14),9,24,0,0.0,
Powerplay (0-5),0,2998,1943,64.8,-11.899999999999999
Powerplay (0-5),1,2098,1110,52.9,-16.299999999999997
Powerplay (0-5),2,988,362,36.6,-6.700000000000003
Powerplay (0-5),3,361,108,29.9,-14.599999999999998
Powerplay (0-5),4,85,13,15.3,
